# Range /mm, dE/dx (el) /MeV * cm ** 2 / mg, Ion Energy /MeV / u
4.247127657444522697e+00,7.610089395934330758e-01,2.138453671393329182e-03
4.258381424350348610e+00,7.628989091647130349e-01,2.147863028976007647e-03
4.269684708680088647e+00,7.647935771578835418e-01,2.157313788442347113e-03
4.281037728314148083e+00,7.666929553623310634e-01,2.166806131963762254e-03
4.292440702091617766e+00,7.685970558462519309e-01,2.176340242513233152e-03
4.303893849814503625e+00,7.705058909639304066e-01,2.185916303868838499e-03
4.315397392251948183e+00,7.724194733631541965e-01,2.195534500617289230e-03
4.326951551144502695e+00,7.743378159927708504e-01,2.205195018157495978e-03
4.338556549208391289e+00,7.762609321103913773e-01,2.214898042704138269e-03
4.350212610139803537e+00,7.781888352902346373e-01,2.224643761291251066e-03
4.361919958619211002e+00,7.801215394311228346e-01,2.234432361775835589e-03
4.373678820315697990e+00,7.820590587646307767e-01,2.244264032841479690e-03
4.385489421891307416e+00,7.840014078082098159e-01,2.254138964001989494e-03
4.397351991005413296e+00,7.859485994880508475e-01,2.264057345605048795e-03
4.409266756319109248e+00,7.879006446207259540e-01,2.274019368835885832e-03
4.421233947499612071e+00,7.898575541211833029e-01,2.284025225720955239e-03
4.433253795224695537e+00,7.918193391562964312e-01,2.294075109131646882e-03
4.445326531187126839e+00,7.937860111516932271e-01,2.304169212787994265e-03
4.457452388099144791e+00,7.957575817987223576e-01,2.314307731262417629e-03
4.469631599696937130e+00,7.977340630615530337e-01,2.324490859983469656e-03
4.481864400745150689e+00,7.997154671844102225e-01,2.334718795239602851e-03
4.494151027041411339e+00,8.017018066989507474e-01,2.344991734182954278e-03
4.506491715420873234e+00,8.036930944317812742e-01,2.355309874833144169e-03
4.518886703760786716e+00,8.056893435121189606e-01,2.365673416081097089e-03
4.531336230985072433e+00,8.076905673795975460e-01,2.376082557692866994e-03
4.543840537068941643e+00,8.096967797922254295e-01,2.386537500313500038e-03
4.556399863043509413e+00,8.117079948344897433e-01,2.397038445470889984e-03
4.569014451000448673e+00,8.137242269256186322e-01,2.407585595579672232e-03
4.581684544096654932e+00,8.157454908279959671e-01,2.418179153945121743e-03
4.594410386558929638e+00,8.177718016557369296e-01,2.428819324767070038e-03
4.607192223688691968e+00,8.198031748834220256e-01,2.439506313143844762e-03
4.620030301866707489e+00,8.218396263549980763e-01,2.450240325076221814e-03
4.632924868557833697e+00,8.238811722928407466e-01,2.461021567471396131e-03
4.645876172315790420e+00,8.259278293069923782e-01,2.471850248146967646e-03
4.658884462787956870e+00,8.279796144045645789e-01,2.482726575834952841e-03
4.671949990720175805e+00,8.300365449993207800e-01,2.493650760185801060e-03
4.685073007961592317e+00,8.320986387854938382e-01,2.504623011772442922e-03
4.698253767469506847e+00,8.341659091602731113e-01,2.515643542094343939e-03
4.711492523314252168e+00,8.362383639851862505e-01,2.526712563581584581e-03
4.724789530684088135e+00,8.383160109212501876e-01,2.537830289598952058e-03
4.738145045890121310e+00,8.403988577862022691e-01,2.548996934450056817e-03
4.751559326371248559e+00,8.424869125596758934e-01,2.560212713381458151e-03
4.765032630699114868e+00,8.445801833884895027e-01,2.571477842586819291e-03
4.778565218583104013e+00,8.466786785920394909e-01,2.582792539211072481e-03
4.792157350875336341e+00,8.487824066678074653e-01,2.594157021354600093e-03
4.805809289575702969e+00,8.508913762969795291e-01,2.605571508077446103e-03
4.819521297836914187e+00,8.530055963501804728e-01,2.617036219403534505e-03
4.833293639969573618e+00,8.551250758933255369e-01,2.628551376324911142e-03
4.847126581447269267e+00,8.572498241935904151e-01,2.640117200806002887e-03
4.861020388911695633e+00,8.593798507255021590e-01,2.651733915787899375e-03
4.874975330177785615e+00,8.615151651771510988e-01,2.663401745192642105e-03
